"date","round","home","away","home_score","away_score"
2016-04-16,31,"Zagłębie Lubin","Lechia Gdańsk",1,2
2016-04-17,31,"Podbeskidzie Bielsko-Biała","Termalica Bruk-Bet Nieciecza",0,1
2016-04-16,31,"Korona Kielce","Śląsk Wrocław",1,1
2016-04-17,31,"Wisła Kraków","Górnik Zabrze",3,1
2016-04-17,31,"Jagiellonia Białystok","Górnik Łęczna",2,0
2016-04-19,32,"Ruch Chorzów","Legia Warszawa",0,0
2016-04-19,32,"Cracovia","Zagłębie Lubin",1,0
2016-04-19,32,"Lech Poznań","Piast Gliwice",2,2
2016-04-19,32,"Lechia Gdańsk","Pogoń Szczecin",2,0
2016-04-20,32,"Górnik Zabrze","Podbeskidzie Bielsko-Biała",1,0
2016-04-20,32,"Śląsk Wrocław","Jagiellonia Białystok",3,1
2016-04-20,32,"Termalica Bruk-Bet Nieciecza","Korona Kielce",0,0
2016-04-20,32,"Górnik Łęczna","Wisła Kraków",0,3
2016-04-22,33,"Legia Warszawa","Cracovia",4,0
2016-04-22,33,"Zagłębie Lubin","Ruch Chorzów",4,1
2016-04-24,33,"Piast Gliwice","Lechia Gdańsk",3,0
2016-04-23,33,"Pogoń Szczecin","Lech Poznań",1,0
2016-04-23,33,"Podbeskidzie Bielsko-Biała","Śląsk Wrocław",1,2
2016-04-24,33,"Jagiellonia Białystok","Górnik Zabrze",0,0
2016-04-23,33,"Korona Kielce","Górnik Łęczna",1,1
2016-04-25,33,"Wisła Kraków","Termalica Bruk-Bet Nieciecza",2,2
2016-04-28,34,"Zagłębie Lubin","Legia Warszawa",2,0
2016-05-01,34,"Piast Gliwice","Pogoń Szczecin",2,1
2016-04-28,34,"Lech Poznań","Lechia Gdańsk",0,0
2016-04-29,34,"Ruch Chorzów","Cracovia",0,1
2016-05-01,34,"Jagiellonia Białystok","Podbeskidzie Bielsko-Biała",3,2
2016-04-30,34,"Korona Kielce","Wisła Kraków",3,2
2016-04-30,34,"Termalica Bruk-Bet Nieciecza","Górnik Łęczna",0,2
2016-04-29,34,"Górnik Zabrze","Śląsk Wrocław",2,1
2016-05-08,35,"Legia Warszawa","Piast Gliwice",4,0
2016-05-08,35,"Pogoń Szczecin","Zagłębie Lubin",1,3
2016-05-08,35,"Cracovia","Lech Poznań",2,0
2016-05-07,35,"Lechia Gdańsk","Ruch Chorzów",2,1
2016-05-06,35,"Podbeskidzie Bielsko-Biała","Korona Kielce",1,1
2016-05-06,35,"Wisła Kraków","Jagiellonia Białystok",1,0
2016-05-07,35,"Śląsk Wrocław","Termalica Bruk-Bet Nieciecza",2,1
2016-05-07,35,"Górnik Łęczna","Górnik Zabrze",0,0
2016-05-11,36,"Lechia Gdańsk","Legia Warszawa",2,0
2016-05-11,36,"Pogoń Szczecin","Cracovia",3,2
2016-05-11,36,"Ruch Chorzów","Piast Gliwice",0,3
2016-05-11,36,"Zagłębie Lubin","Lech Poznań",3,0
2016-05-10,36,"Górnik Łęczna","Podbeskidzie Bielsko-Biała",5,1
2016-05-10,36,"Wisła Kraków","Śląsk Wrocław",1,1
2016-05-10,36,"Górnik Zabrze","Korona Kielce",0,0
2016-05-10,36,"Jagiellonia Białystok","Termalica Bruk-Bet Nieciecza",0,1
2016-05-15,37,"Legia Warszawa","Pogoń Szczecin",3,0
2016-05-15,37,"Cracovia","Lechia Gdańsk",2,0
2016-05-15,37,"Piast Gliwice","Zagłębie Lubin",0,1
2016-05-15,37,"Lech Poznań","Ruch Chorzów",3,0
2016-05-14,37,"Podbeskidzie Bielsko-Biała","Wisła Kraków",3,4
2016-05-14,37,"Śląsk Wrocław","Górnik Łęczna",3,2
2016-05-14,37,"Korona Kielce","Jagiellonia Białystok",1,3
2016-05-14,37,"Termalica Bruk-Bet Nieciecza","Górnik Zabrze",1,1
